1_ortho;4_cgram;5_genre
a;NOM;m
a;AUX;
a;VER;
a capella;ADV;
a cappella;ADV;
a contrario;ADV;
a fortiori;ADV;
a giorno;ADV;
a jeun;ADV;
a l'instar;PRE;
a posteriori;ADV;
a priori;ADV;
a priori;NOM;m
aa;NOM;m
ab absurdo;ADV;
ab initio;ADV;
ab ovo;ADV;
abaca;NOM;m
abaissa;VER;
abaissai;VER;
abaissaient;VER;
abaissait;VER;
abaissant;ADJ;m
abaissant;VER;
abaissante;ADJ;f
abaisse;NOM;f
abaisse;VER;
abaisse-langue;NOM;m
abaissement;NOM;m
abaissent;VER;
abaisser;VER;
abaissera;VER;
abaisserai;VER;
abaisseraient;VER;
abaisserais;VER;
abaisserait;VER;
abaisses;VER;
abaissez;VER;
abaissons;VER;
abaissèrent;VER;
abaissé;VER;m
abaissé;ADJ;m
abaissée;VER;f
abaissée;ADJ;f
abaissées;VER;f
abaissées;ADJ;f
abaissés;VER;m
abaissés;ADJ;m
abalone;NOM;m
abalones;NOM;m
abandon;NOM;m
abandonna;VER;
abandonnai;VER;
abandonnaient;VER;
abandonnais;VER;
abandonnait;VER;
abandonnant;VER;
abandonnas;VER;
abandonne;VER;
abandonnent;VER;
abandonner;VER;
abandonnera;VER;
abandonnerai;VER;
abandonneraient;VER;
abandonnerais;VER;
abandonnerait;VER;
abandonneras;VER;
abandonnerez;VER;
abandonneriez;VER;
abandonnerions;VER;
abandonnerons;VER;
abandonneront;VER;
abandonnes;VER;
abandonneurs;NOM;m
abandonnez;VER;
abandonniez;VER;
abandonnions;VER;
abandonnique;ADJ;
abandonnons;VER;
abandonnâmes;VER;
abandonnât;VER;
abandonnèrent;VER;
abandonné;VER;m
abandonné;ADJ;m
abandonnée;VER;f
abandonnée;ADJ;f
abandonnées;VER;f
abandonnées;ADJ;f
abandonnés;VER;m
abandonnés;ADJ;m
abandons;NOM;m
abaque;NOM;m
abasourdi;ADJ;m
abasourdi;VER;m
abasourdie;ADJ;f
abasourdie;VER;f
abasourdir;VER;
abasourdis;ADJ;m
abasourdis;VER;m
abasourdissant;ADJ;m
abasourdissants;ADJ;m
abat;NOM;m
abat;VER;
abat-jour;NOM;m
abat-son;NOM;m
abatage;NOM;m
abatis;NOM;m
abats;NOM;m
abats;VER;
abattage;NOM;m
abattages;NOM;m
abattaient;VER;
abattais;VER;
abattait;VER;
abattant;NOM;m
abattant;VER;
abattants;NOM;m
abatte;VER;
abattement;NOM;m
abattements;NOM;m
abattent;VER;
abattes;VER;
abatteur;NOM;m
abatteurs;NOM;m
abattez;VER;
abattiez;VER;
abattions;VER;
abattirent;VER;
abattis;NOM;m
abattis;VER;
abattit;VER;
abattoir;NOM;m
abattoirs;NOM;m
abattons;VER;
abattra;VER;
abattrai;VER;
abattraient;VER;
abattrais;VER;
abattrait;VER;
abattras;VER;
abattre;VER;
abattrez;VER;
abattriez;VER;
abattrons;VER;
abattront;VER;
abattu;VER;m
abattu;ADJ;m
abattu;NOM;m
abattue;VER;f
abattue;ADJ;f
abattues;VER;f
abattues;ADJ;f
abattures;NOM;f
abattus;VER;m
abattus;ADJ;m
abattus;NOM;m
abbatial;ADJ;m
abbatiale;ADJ;f
abbatiale;NOM;f
abbatiales;ADJ;f
abbaye;NOM;f
abbayes;NOM;f
abbesse;NOM;f
abbesses;NOM;f
abbé;NOM;m
abbés;NOM;m
abc;NOM;m
abcès;NOM;m
abdication;NOM;f
abdications;NOM;f
abdiqua;VER;
abdiquai;VER;
abdiquaient;VER;
abdiquais;VER;
abdiquait;VER;
abdiquant;VER;
abdique;VER;
abdiquer;VER;
abdiquera;VER;
abdiquerais;VER;
abdiquerait;VER;
abdiquez;VER;
abdiqué;VER;m
abdiquée;VER;f
abdomen;NOM;m
abdominal;ADJ;m
abdominale;ADJ;f
abdominales;ADJ;f
abdominaux;ADJ;m
abdominaux;NOM;m
abdos;NOM;m
abducteur;ADJ;m
abduction;NOM;f
abeille;NOM;f
abeilles;NOM;f
aber;NOM;m
aberrant;ADJ;m
aberrant;VER;
aberrante;ADJ;f
aberrantes;ADJ;f
aberrants;ADJ;m
aberration;NOM;f
aberrations;NOM;f
abhorrais;VER;
abhorrait;VER;
abhorrant;VER;
abhorre;VER;
abhorrer;VER;
abhorrez;VER;
abhorré;VER;m
abhorré;ADJ;m
abhorrée;VER;f
abhorrée;ADJ;f
abhorrés;VER;m
abject;ADJ;m
abjecte;ADJ;f
abjectement;ADV;
abjectes;ADJ;f
abjection;NOM;f
abjections;NOM;f
abjects;ADJ;m
abjurant;VER;
abjuration;NOM;f
abjurations;NOM;f
abjure;VER;
abjurer;VER;
abjurez;VER;
abjurons;VER;
abjuré;VER;m
abkhaze;ADJ;f
ablatif;NOM;m
ablation;NOM;f
ablations;NOM;f
able;NOM;m
ablette;NOM;f
ablettes;NOM;f
ablution;NOM;f
ablutions;NOM;f
abnégation;NOM;f
aboi;NOM;m
aboie;VER;
aboiement;NOM;m
aboiements;NOM;m
aboient;VER;
aboiera;VER;
aboierait;VER;
aboieront;VER;
aboies;VER;
abois;NOM;m
aboli;ADJ;m
aboli;VER;m
abolie;ADJ;f
abolie;VER;f
abolies;ADJ;f
abolies;VER;f
abolir;VER;
abolira;VER;
abolirait;VER;
aboliras;VER;
abolis;ADJ;m
abolis;VER;m
abolissaient;VER;
abolissais;VER;
abolissait;VER;
abolissant;VER;
abolissent;VER;
abolissions;VER;
abolissons;VER;
abolit;VER;
abolition;NOM;f
abolitionniste;ADJ;m
abolitionniste;NOM;
abolitionnistes;ADJ;
abolitionnistes;NOM;
abominable;ADJ;
abominablement;ADV;
abominables;ADJ;
abominaient;VER;
abomination;NOM;f
abominations;NOM;f
abomine;VER;
abominer;VER;
abonda;VER;
abondai;VER;
abondaient;VER;
abondais;VER;
abondait;VER;
abondamment;ADV;
abondance;NOM;f
abondant;ADJ;m
abondant;VER;
abondante;ADJ;f
abondantes;ADJ;f
abondants;ADJ;m
abondassent;VER;
abonde;VER;
abondent;VER;
abonder;VER;
abondé;VER;m
abonnai;VER;
abonnant;VER;
abonne;VER;
abonnement;NOM;m
abonnements;NOM;m
abonner;VER;
abonnez;VER;
abonnât;VER;
abonné;VER;m
abonné;ADJ;m
abonné;NOM;m
abonnée;VER;f
abonnée;ADJ;f
abonnée;NOM;f
abonnées;VER;f
abonnées;NOM;f
abonnés;VER;m
abonnés;ADJ;m
abonnés;NOM;m
abord;NOM;m
aborda;VER;
abordable;ADJ;
abordables;ADJ;
abordage;NOM;m
abordages;NOM;m
abordai;VER;
abordaient;VER;
abordais;VER;
abordait;VER;
abordant;VER;
aborde;VER;
abordent;VER;
aborder;VER;
abordera;VER;
aborderai;VER;
aborderaient;VER;
aborderais;VER;
aborderait;VER;
aborderiez;VER;
aborderions;VER;
aborderons;VER;
aborderont;VER;
abordes;VER;
abordez;VER;
abordiez;VER;
abordions;VER;
abordons;VER;
abords;NOM;m
abordâmes;VER;
abordèrent;VER;
abordé;VER;m
abordé;ADJ;m
abordée;VER;f
abordées;VER;f
abordées;ADJ;f
abordés;VER;m
abordés;ADJ;m
aborigène;ADJ;
aborigène;NOM;
aborigènes;ADJ;
aborigènes;NOM;
abornement;NOM;m
abortif;ADJ;m
abortive;ADJ;f
abortives;ADJ;f
abouchaient;VER;
abouchais;VER;
abouchait;VER;
abouchant;VER;
abouchements;NOM;m
aboucher;VER;
abouché;VER;m
abouchée;VER;f
abouchés;VER;m
aboule;VER;
abouler;VER;
aboules;VER;
aboulez;VER;
aboulie;NOM;f
aboulique;NOM;
abouliques;ADJ;
abounas;NOM;m
about;NOM;m
aboutait;VER;
abouti;ADJ;m
abouti;VER;m
aboutie;ADJ;f
aboutie;VER;f
aboutir;VER;
aboutira;VER;
aboutirai;VER;
aboutiraient;VER;
aboutirais;VER;
aboutirait;VER;
aboutiras;VER;
aboutirent;VER;
aboutirons;VER;
aboutiront;VER;
aboutis;ADJ;m
aboutis;VER;m
aboutissaient;VER;
aboutissait;VER;
aboutissant;VER;
aboutissant;NOM;m
aboutissants;NOM;m
aboutisse;VER;
aboutissement;NOM;m
aboutissent;VER;
aboutissez;VER;
aboutissiez;VER;
aboutissions;VER;
aboutit;VER;
aboutonnai;VER;
aboutons;VER;
aboutîmes;VER;
aboya;VER;
aboyaient;VER;
aboyait;VER;
aboyant;ADJ;m
aboyant;VER;
aboyante;ADJ;f
aboyer;VER;
aboyeur;ADJ;m
aboyeur;NOM;m
aboyeurs;ADJ;m
aboyeurs;NOM;m
aboyons;VER;
aboyèrent;VER;
aboyé;VER;m
abracadabra;NOM;m
abracadabrant;ADJ;m
abracadabrante;ADJ;f
abracadabrantes;ADJ;f
abracadabrants;ADJ;m
abracadabré;VER;m
abrasif;ADJ;m
abrasif;NOM;m
abrasifs;ADJ;m
abrasifs;NOM;m
abrasion;NOM;f
abrasive;ADJ;f
abrasé;VER;m
abraxas;NOM;m
abreuva;VER;
abreuvage;NOM;m
abreuvaient;VER;
abreuvait;VER;
abreuvant;VER;
abreuve;VER;
abreuvent;VER;
abreuver;VER;
abreuvera;VER;
abreuveraient;VER;
abreuvez;VER;
abreuvoir;NOM;m
abreuvoirs;NOM;m
abreuvons;VER;
abreuvé;VER;m
abreuvé;ADJ;m
abreuvée;VER;f
abreuvés;VER;m
abreuvés;ADJ;m
abri;NOM;m
abri-refuge;NOM;m
abribus;NOM;m
abricot;ADJ;
abricot;NOM;m
abricotez;VER;
abricotier;NOM;m
abricotiers;NOM;m
abricotine;NOM;f
abricots;NOM;m
abris;NOM;m
abrita;VER;
abritai;VER;
abritaient;VER;
abritais;VER;
abritait;VER;
abritant;ADJ;m
abritant;VER;
abrite;VER;
abritent;VER;
abriter;VER;
abritera;VER;
abriterait;VER;
abriterons;VER;
abriteront;VER;
abrites;VER;
abritez;VER;
abritiez;VER;
abritions;VER;
abritons;VER;
abritâmes;VER;
abritèrent;VER;
abrité;VER;m
abrité;ADJ;m
abritée;VER;f
abritée;ADJ;f
abritées;VER;f
abrités;VER;m
abrités;ADJ;m
abrogation;NOM;f
abrogent;VER;
abroger;VER;
abrogé;VER;m
abrogé;ADJ;m
abrogée;VER;f
abrogées;VER;f
abrogés;VER;m
abrupt;ADJ;m
abrupt;NOM;m
abrupte;ADJ;f
abruptement;ADV;
abruptes;ADJ;f
abrupts;ADJ;m
abrupts;NOM;m
abruti;ADJ;m
abruti;NOM;m
abruti;VER;m
abrutie;ADJ;f
abrutie;NOM;f
abrutie;VER;f
abruties;ADJ;f
abruties;NOM;f
abruties;VER;f
abrutir;VER;
abrutira;VER;
abrutis;ADJ;m
abrutis;NOM;m
abrutis;VER;m
abrutissaient;VER;
abrutissais;VER;
abrutissait;VER;
abrutissant;VER;
abrutissant;ADJ;m
abrutissante;ADJ;f
abrutissantes;ADJ;f
abrutissants;ADJ;m
abrutissement;NOM;m
abrutissent;VER;
abrutisseur;NOM;m
abrutissions;VER;
abrutit;VER;
abrège;VER;
abrègent;VER;
abrégea;VER;
abrégeai;VER;
abrégeaient;VER;
abrégeait;VER;
abrégeant;VER;
abrégeons;VER;
abréger;VER;
abrégera;VER;
abrégerai;VER;
abrégerait;VER;
abrégez;VER;
abrégeât;VER;
abrégé;VER;m
abrégé;ADJ;m
abrégé;NOM;m
abrégée;VER;f
abrégée;ADJ;f
abrégés;ADJ;m
abrégés;NOM;m
abréviatif;ADJ;m
abréviation;NOM;f
abréviations;NOM;f
abscisse;NOM;f
abscission;NOM;f
abscons;ADJ;m
absconse;ADJ;f
absconses;ADJ;f
absence;NOM;f
absences;NOM;f
absent;ADJ;m
absent;NOM;m
absenta;VER;
absentai;VER;
absentaient;VER;
absentais;VER;
absentait;VER;
absentant;VER;
absente;ADJ;f
absente;NOM;f
absente;VER;
absenter;VER;
absentera;VER;
absenterai;VER;
absenterait;VER;
absentes;ADJ;f
absentes;NOM;f
absentes;VER;
absents;ADJ;m
absents;NOM;m
absentèrent;VER;
absenté;VER;m
absentée;VER;f
absentéisme;NOM;m
absentéiste;ADJ;m
absentéiste;NOM;
absentés;VER;m
abside;NOM;f
absides;NOM;f
absidiales;ADJ;f
absidiole;NOM;f
absinthant;VER;
absinthe;NOM;f
absolu;ADJ;m
absolu;NOM;m
absolue;ADJ;f
absolues;ADJ;f
absolument;ADV;
absolus;ADJ;m
absolus;NOM;m
absolution;NOM;f
absolutisme;NOM;m
absolvaient;VER;
absolvait;VER;
absolvant;ADJ;m
absolve;VER;
absolvent;VER;
absolves;VER;
absorba;VER;
absorbables;ADJ;m
absorbai;VER;
absorbaient;VER;
absorbais;VER;
absorbait;VER;
absorbant;ADJ;m
absorbant;NOM;m
absorbant;VER;
absorbante;ADJ;f
absorbantes;ADJ;f
absorbants;ADJ;m
absorbe;VER;
absorbent;VER;
absorber;VER;
absorbera;VER;
absorberai;VER;
absorberaient;VER;
absorberait;VER;
absorbeur;NOM;m
absorbez;VER;
absorbions;VER;
absorbons;VER;
absorbèrent;VER;
absorbé;VER;m
absorbé;ADJ;m
absorbée;VER;f
absorbée;ADJ;f
absorbées;VER;f
absorbées;ADJ;f
absorbés;VER;m
absorbés;ADJ;m
absorption;NOM;f
absorptions;NOM;f
absoudrai;VER;
absoudrait;VER;
absoudre;VER;
absoudriez;VER;
absous;VER;m
absous;ADJ;m
absout;VER;
absoute;VER;f
absoute;ADJ;f
absoute;NOM;f
absoutes;VER;f
abstenaient;VER;
abstenais;VER;
abstenait;VER;
abstenant;VER;
abstenez;VER;
absteniez;VER;
abstenions;VER;
abstenir;VER;
abstenons;VER;
abstention;NOM;f
abstentionniste;NOM;
abstentionnistes;NOM;
abstenu;VER;m
abstenue;VER;f
abstenue;ADJ;f
abstenues;VER;f
abstenus;VER;m
abstiendrai;VER;
abstiendraient;VER;
abstiendrais;VER;
abstiendrait;VER;
abstiendras;VER;
abstiendrions;VER;
abstiendrons;VER;
abstiendront;VER;
abstienne;VER;
abstiennent;VER;
abstiennes;VER;
abstiens;VER;
abstient;VER;
abstinence;NOM;f
abstinences;NOM;f
abstinent;ADJ;m
abstinente;ADJ;f
abstinrent;VER;
abstins;VER;
abstint;VER;
abstraction;NOM;f
abstractions;NOM;f
abstraire;VER;
abstrais;VER;
abstrait;VER;m
abstrait;ADJ;m
abstrait;NOM;m
abstraite;VER;f
abstraite;ADJ;f
abstraitement;ADV;
abstraites;VER;f
abstraites;ADJ;f
abstraits;VER;m
abstraits;ADJ;m
abstraits;NOM;m
abstrus;ADJ;m
abstruse;ADJ;f
abstruses;ADJ;f
abstînt;VER;
absurde;ADJ;
absurde;NOM;m
absurdement;ADV;
absurdes;ADJ;
absurdes;NOM;m
absurdistes;NOM;
absurdité;NOM;f
absurdités;NOM;f
abus;NOM;m
abusa;VER;
abusai;VER;
abusaient;VER;
abusais;VER;
abusait;VER;
abusant;VER;
abuse;VER;
abusent;VER;
abuser;VER;
abusera;VER;
abuserai;VER;
abuserais;VER;
abuserait;VER;
abuserez;VER;
abuseriez;VER;
abuses;VER;
abuseur;NOM;m
abusez;VER;
abusiez;VER;
abusif;ADJ;m
abusifs;ADJ;m
abusive;ADJ;f
abusivement;ADV;
abusives;ADJ;f
abusons;VER;
abusèrent;VER;
abusé;VER;m
abusé;ADJ;m
abusée;VER;f
abusée;ADJ;f
abusées;VER;f
abusées;ADJ;f
abusés;VER;m
abusés;ADJ;m
abyme;NOM;m
abyssal;ADJ;m
abyssale;ADJ;f
abyssales;ADJ;f
abysse;NOM;m
abysses;NOM;m
abyssin;ADJ;m
abyssin;NOM;m
abyssinien;ADJ;m
abyssinienne;NOM;f
abyssins;ADJ;m
abâtardi;VER;m
abâtardie;ADJ;f
abâtardies;VER;f
abâtardir;VER;
abâtardirai;VER;
abâtardissant;VER;
abécédaire;NOM;m
abêti;ADJ;m
abêti;VER;m
abêties;ADJ;f
abêtir;VER;
abêtis;ADJ;m
abêtis;VER;
abêtissait;VER;
abêtissement;NOM;m
abêtit;VER;
abîma;VER;
abîmai;VER;
abîmaient;VER;
abîmait;VER;
abîmant;VER;
abîme;NOM;m
abîme;VER;
abîment;VER;
abîmer;VER;
abîmera;VER;
abîmerai;VER;
abîmerais;VER;
abîmerait;VER;
abîmeras;VER;
abîmerez;VER;
abîmeront;VER;
abîmes;NOM;m
abîmes;VER;
abîmez;VER;
abîmions;VER;
abîmons;VER;
abîmé;VER;m
abîmée;VER;f
abîmées;VER;f
abîmés;VER;m
acabit;NOM;m
acabits;NOM;m
acacia;NOM;m
acacias;NOM;m
acadien;ADJ;m
acadien;NOM;m
acadienne;NOM;f
acadiens;NOM;m
académicien;NOM;m
académiciens;NOM;m
académie;NOM;f
académies;NOM;f
académique;ADJ;
académiquement;ADV;
académiques;ADJ;
académisme;NOM;m
académisé;VER;m
acagnardai;VER;
acagnardait;VER;
acagnarder;VER;
acagnardé;VER;m
acagnardée;VER;f
acajou;ADJ;
acajou;NOM;m
acajous;NOM;m
acanthe;NOM;f
acanthes;NOM;f
acariens;NOM;m
acariâtre;ADJ;
acariâtres;ADJ;f
accabla;VER;
accablai;VER;
accablaient;VER;
accablais;VER;
accablait;VER;
accablant;ADJ;m
accablant;VER;
accablante;ADJ;f
accablantes;ADJ;f
accablants;ADJ;m
accable;VER;
accablement;NOM;m
accablements;NOM;m
accablent;VER;
accabler;VER;
accableraient;VER;
accablez;VER;
accablions;VER;
accablât;VER;
accablèrent;VER;
accablé;VER;m
accablé;ADJ;m
accablée;VER;f
accablée;ADJ;f
accablées;VER;f
accablées;ADJ;f
accablés;VER;m
accablés;ADJ;m
accalmie;NOM;f
accalmies;NOM;f
accalmit;VER;
accapara;VER;
accaparaient;VER;
accaparait;VER;
accaparant;ADJ;m
accaparant;VER;
accaparante;ADJ;f
accapare;VER;
accaparer;VER;
accaparerait;VER;
accapareur;ADJ;m
accaparez;VER;
accaparé;VER;m
accaparée;VER;f
accaparées;VER;f
accaparés;VER;m
accastillage;NOM;m
accastillages;NOM;m
accelerando;ADV;
accent;NOM;m
accenteur;NOM;m
accents;NOM;m
accentua;VER;
accentuai;VER;
accentuaient;VER;
accentuais;VER;
accentuait;VER;
accentuant;VER;
accentuation;NOM;f
accentue;VER;
accentuent;VER;
accentuer;VER;
accentuerait;VER;
accentuez;VER;
accentuât;VER;
accentuèrent;VER;
accentué;VER;m
accentué;ADJ;m
accentuée;VER;f
accentuée;ADJ;f
accentuées;VER;f
accentuées;ADJ;f
accentués;VER;m
accentués;ADJ;m
accepta;VER;
acceptable;ADJ;
acceptables;ADJ;
acceptai;VER;
acceptaient;VER;
acceptais;VER;
acceptait;VER;
acceptant;NOM;m
acceptant;VER;
acceptassent;VER;
acceptasses;VER;
acceptation;NOM;f
acceptations;NOM;f
accepte;VER;
acceptent;VER;
accepter;VER;
acceptera;VER;
accepterai;VER;
accepteraient;VER;
accepterais;VER;
accepterait;VER;
accepteras;VER;
accepterez;VER;
accepteriez;VER;
accepterions;VER;
accepterons;VER;
accepteront;VER;
acceptes;VER;
acceptez;VER;
acceptiez;VER;
acception;NOM;f
acceptions;NOM;f
acceptions;VER;
acceptons;VER;
acceptâmes;VER;
acceptât;VER;
acceptèrent;VER;
accepté;VER;m
acceptée;VER;f
acceptées;VER;f
acceptés;VER;m
accesseurs;NOM;m
accessibilité;NOM;f
accessible;ADJ;
accessibles;ADJ;
accession;NOM;f
accessit;NOM;m
accessoire;ADJ;
accessoire;NOM;m
accessoirement;ADV;
accessoires;ADJ;
accessoires;NOM;m
accessoirise;VER;
accessoiriser;VER;
accessoiriste;NOM;
accessoiristes;NOM;
accident;NOM;m
accidente;VER;
accidentel;ADJ;m
accidentelle;ADJ;f
accidentellement;ADV;
accidentelles;ADJ;f
accidentels;ADJ;m
accidenter;VER;
accidents;NOM;m
accidenté;VER;m
accidenté;ADJ;m
accidenté;NOM;m
accidentée;VER;f
accidentée;ADJ;f
accidentée;NOM;f
accidentées;ADJ;f
accidentés;ADJ;m
accidentés;NOM;m
acclama;VER;
acclamaient;VER;
acclamait;VER;
acclamant;VER;
acclamation;NOM;f
acclamations;NOM;f
acclame;VER;
acclament;VER;
acclamer;VER;
acclamera;VER;
acclamerait;VER;
acclameront;VER;
acclamez;VER;
acclamiez;VER;
acclamons;VER;
acclamé;VER;m
acclamée;VER;f
acclamées;VER;f
acclamés;VER;m
acclimata;VER;
acclimatai;VER;
acclimatation;NOM;f
acclimate;VER;
acclimatement;NOM;m
acclimatent;VER;
acclimater;VER;
acclimaterait;VER;
acclimates;VER;
acclimatez;VER;
acclimaté;VER;m
acclimatés;VER;m
accointance;NOM;f
accointances;NOM;f
accointé;VER;m
accointés;VER;m
accola;VER;
accolade;NOM;f
accolades;NOM;f
accolait;VER;
accolant;VER;
accole;VER;
accolement;NOM;m
accolent;VER;
accoler;VER;
accolerais;VER;
accolé;VER;m
accolée;VER;f
accolée;ADJ;f
accolées;VER;f
accolées;ADJ;f
accolés;VER;m
accolés;ADJ;m
accommoda;VER;
accommodai;VER;
accommodaient;VER;
accommodais;VER;
accommodait;VER;
accommodant;ADJ;m
accommodant;VER;
accommodante;ADJ;f
accommodantes;ADJ;f
accommodants;ADJ;m
accommodation;NOM;f
accommodatrices;ADJ;f
accommode;VER;
accommodement;NOM;m
accommodements;NOM;m
accommodent;VER;
accommoder;VER;
accommodera;VER;
accommoderai;VER;
accommoderaient;VER;
accommoderais;VER;
accommoderait;VER;
accommoderez;VER;
accommoderions;VER;
accommoderont;VER;
accommodions;VER;
accommodons;VER;
accommodât;VER;
accommodèrent;VER;
accommodé;VER;m
accommodée;VER;f
accommodés;VER;m
accompagna;VER;
accompagnai;VER;
accompagnaient;VER;
accompagnais;VER;
accompagnait;VER;
accompagnant;ADJ;m
accompagnant;VER;
accompagnateur;NOM;m
accompagnateurs;NOM;m
accompagnatrice;NOM;f
accompagnatrices;NOM;f
accompagne;VER;
accompagnement;NOM;m
accompagnements;NOM;m
accompagnent;VER;
accompagner;VER;
accompagnera;VER;
accompagnerai;VER;
accompagneraient;VER;
accompagnerais;VER;
accompagnerait;VER;
accompagneras;VER;
accompagnerez;VER;
accompagneriez;VER;
accompagnerons;VER;
accompagneront;VER;
accompagnes;VER;
accompagnez;VER;
accompagniez;VER;
accompagnions;VER;
accompagnons;VER;
accompagnâmes;VER;
accompagnât;VER;
accompagnèrent;VER;
accompagné;VER;m
accompagné;ADJ;m
accompagnée;VER;f
accompagnée;ADJ;f
accompagnées;VER;f
accompagnées;ADJ;f
accompagnés;VER;m
accompagnés;ADJ;m
accompli;ADJ;m
accompli;NOM;m
accompli;VER;m
accomplie;ADJ;f
accomplie;VER;f
accomplies;ADJ;f
accomplies;VER;f
accomplir;VER;
accomplira;VER;
accomplirai;VER;
accompliraient;VER;
accomplirais;VER;
accomplirait;VER;
accompliras;VER;
accomplirent;VER;
accomplirez;VER;
accomplirons;VER;
accompliront;VER;
accomplis;ADJ;m
accomplis;VER;m
accomplissaient;VER;
accomplissais;VER;
accomplissait;VER;
accomplissant;VER;
accomplisse;VER;
accomplissement;NOM;m
accomplissements;NOM;m
accomplissent;VER;
accomplissez;VER;
accomplissiez;VER;
accomplissions;VER;
accomplissons;VER;
accomplit;VER;
accomplît;VER;
accord;NOM;m
accorda;VER;
accordai;VER;
accordaient;VER;
accordailles;NOM;f
accordais;VER;
accordait;VER;
accordant;VER;
accordas;VER;
accordassent;VER;
accorde;VER;
accordement;NOM;m
accordent;VER;
accorder;VER;
accordera;VER;
accorderai;VER;
accorderaient;VER;
accorderais;VER;
accorderait;VER;
accorderas;VER;
accorderez;VER;
accorderiez;VER;
accorderons;VER;
accorderont;VER;
accordes;VER;
accordeur;NOM;m
accordez;VER;
accordiez;VER;
accordions;VER;
accordo;NOM;m
accordons;VER;
accords;NOM;m
accordât;VER;
accordèrent;VER;
accordé;VER;m
accordé;NOM;m
accordée;VER;f
accordée;NOM;f
accordées;VER;f
accordées;NOM;f
accordéon;NOM;m
accordéoniste;NOM;
accordéonistes;NOM;
accordéons;NOM;m
accordés;VER;m
accordés;NOM;m
accore;ADJ;f
accores;NOM;m
accort;ADJ;m
accorte;ADJ;f
accortes;ADJ;f
accorts;ADJ;m
accosta;VER;
accostage;NOM;m
accostaient;VER;
accostais;VER;
accostait;VER;
accostant;ADJ;m
accostant;VER;
accoste;VER;
accostent;VER;
accoster;VER;
accosterez;VER;
accosterons;VER;
accostez;VER;
accostiez;VER;
accostons;VER;
accosté;VER;m
accostée;VER;f
accostées;VER;f
accota;VER;
accotaient;VER;
accotait;VER;
accotant;VER;
accote;VER;
accotement;NOM;m
accotements;NOM;m
accotent;VER;
accoter;VER;
accotoirs;NOM;m
accotons;VER;
accotèrent;VER;
accoté;VER;m
accotée;VER;f
accotées;VER;f
accotés;VER;m
accotés;NOM;m
accoucha;VER;
accouchaient;VER;
accouchais;VER;
accouchait;VER;
accouchant;ADJ;m
accouchant;VER;
accouche;VER;
accouchement;NOM;m
accouchements;NOM;m
accouchent;VER;
accoucher;VER;
accouchera;VER;
accoucherait;VER;
accoucheras;VER;
accouches;VER;
accoucheur;NOM;m
accoucheurs;NOM;m
accoucheuse;NOM;f
accouchez;VER;
accouché;VER;m
accouchée;VER;f
accouchée;NOM;f
accouchées;NOM;f
accouchés;VER;m
accouda;VER;
accoudai;VER;
accoudaient;VER;
accoudais;VER;
accoudait;VER;
accoudant;VER;
accoude;VER;
accouder;VER;
accoudions;VER;
accoudoir;NOM;m
accoudoirs;NOM;m
accoudons;VER;
accoudèrent;VER;
accoudé;VER;m
accoudé;ADJ;m
accoudée;VER;f
accoudée;ADJ;f
accoudées;VER;f
accoudés;VER;m
accoudés;ADJ;m
accoupla;VER;
accouplaient;VER;
accouplais;VER;
accouplait;VER;
accouplant;VER;
accouple;VER;
accouplement;NOM;m
accouplements;NOM;m
accouplent;VER;
accoupler;VER;
accouplera;VER;
accouplerait;VER;
accoupleront;VER;
accouplèrent;VER;
accouplé;VER;m
accouplée;VER;f
accouplées;VER;f
accouplés;VER;m
accouraient;VER;
accourais;VER;
accourait;VER;
accourant;VER;
accourcissant;VER;
accoure;VER;
accourent;VER;
accoures;VER;
accourez;VER;
accouriez;VER;
accourir;VER;
accourons;VER;
accourra;VER;
accourrai;VER;
accourraient;VER;
accourrais;VER;
accourrait;VER;
accourront;VER;
accours;VER;
accourt;VER;
accouru;VER;m
accourue;VER;f
accourues;VER;f
accoururent;VER;
accourus;VER;m
accourussent;VER;
accourut;VER;
accourût;VER;
accoutre;VER;
accoutrement;NOM;m
accoutrements;NOM;m
accoutré;VER;m
accoutré;ADJ;m
accoutrée;VER;f
accoutrée;ADJ;f
accoutrés;VER;m
accoutrés;ADJ;m
accoutuma;VER;
accoutumai;VER;
accoutumaient;VER;
accoutumais;VER;
accoutumait;VER;
accoutumance;NOM;f
accoutumances;NOM;f
accoutumant;VER;
accoutume;VER;
accoutument;VER;
accoutumer;VER;
accoutumerait;VER;
accoutumé;VER;m
accoutumé;ADJ;m
accoutumée;VER;f
accoutumée;ADJ;f
accoutumées;VER;f
accoutumées;ADJ;f
accoutumés;VER;m
accoutumés;ADJ;m
accouvée;VER;f
accras;NOM;m
accro;ADJ;m
accro;NOM;m
accroc;NOM;m
accrocha;VER;
accrochage;NOM;m
accrochages;NOM;m
accrochai;VER;
accrochaient;VER;
accrochais;VER;
accrochait;VER;
accrochant;ADJ;m
accrochant;VER;
accroche;NOM;f
accroche;VER;
accroche-coeur;NOM;m
accroche-coeurs;NOM;m
accrochent;VER;
accrocher;VER;
accrochera;VER;
accrocherai;VER;
accrocheraient;VER;
accrocherais;VER;
accrocherait;VER;
accrocherez;VER;
accrocheriez;VER;
accrocheront;VER;
accroches;NOM;f
accroches;VER;
accrocheur;ADJ;m
accrocheurs;ADJ;m
accrocheuse;ADJ;f
accrocheuses;ADJ;f
accrochez;VER;
